Id,Type
23290700,onstreetBus
23290800,onstreetBus
23291200,onstreetBus
23291300,onstreetBus
23291500,onstreetBus
23291700,onstreetBus
23291800,onstreetBus
23300200,onstreetBus
23340010,onstreetBus
23340800,onstreetBus
23351700,onstreetBus
23360300,onstreetBus
23360400,onstreetBus
23410200,onstreetBus
23440200,onstreetBus
23500100,onstreetBus
23530200,onstreetBus
23540400,onstreetBus
23540900,onstreetBus
23541400,onstreetBus
23591510,onstreetBus
23591900,onstreetBus
23592100,onstreetBus
23690900,onstreetBus
23691010,onstreetBus
23691530,onstreetBus
23740600,onstreetBus
23741010,onstreetBus
23741130,onstreetBus
23741200,onstreetBus
23741210,onstreetBus
23741240,onstreetBus
23745500,onstreetBus
23745520,onstreetBus
23745540,onstreetBus
23790310,onstreetBus
23810100,onstreetBus
23890300,onstreetBus
23891000,onstreetBus
23892000,onstreetBus
23892020,onstreetBus
23990500,onstreetBus
23990600,onstreetBus
24000100,onstreetBus
24000460,onstreetBus
24000800,onstreetBus
24001500,onstreetBus
24002100,onstreetBus
24002400,onstreetBus
24150100,onstreetBus
24161300,onstreetBus
24180200,onstreetBus
24180500,onstreetBus
24190300,onstreetBus
24200100,onstreetBus
24200600,onstreetBus
24240600,onstreetBus
24251140,onstreetBus
24251410,onstreetBus
24251800,onstreetBus
24252300,onstreetBus
24260200,onstreetBus
24300700,onstreetBus
24300900,onstreetBus
24301000,onstreetBus
24320420,onstreetBus
24350030,onstreetBus
24350300,onstreetBus
24350600,onstreetBus
24350800,onstreetBus
24380100,onstreetBus
24380400,onstreetBus
24400100,onstreetBus
24400400,onstreetBus
24420500,onstreetBus
24430100,onstreetBus
24450030,onstreetBus
24450050,onstreetBus
24451800,onstreetBus
24460500,onstreetBus
24461200,onstreetBus
24470200,onstreetBus
24480100,onstreetBus
24480200,onstreetBus
24480300,onstreetBus
24480400,onstreetBus
24480500,onstreetBus
24490010,onstreetBus
24490900,onstreetBus
24500100,onstreetBus
24500400,onstreetBus
24510020,onstreetBus
24510040,onstreetBus
24510090,onstreetBus
24520300,onstreetBus
24550400,onstreetBus
24550420,onstreetBus
24552370,onstreetBus
24560500,onstreetBus
24560600,onstreetBus
24570100,onstreetBus
24610010,onstreetBus
24620310,onstreetBus
24630100,onstreetBus
24630700,onstreetBus
24650030,onstreetBus
24650070,onstreetBus
24660500,onstreetBus
24670500,onstreetBus
24710050,onstreetBus
24750120,onstreetBus
24750180,onstreetBus
24760400,onstreetBus
24760500,onstreetBus
24761000,onstreetBus
24820050,onstreetBus
24830200,onstreetBus
24830300,onstreetBus
24870300,onstreetBus
24870400,onstreetBus
24870900,onstreetBus
24920050,onstreetBus
24920070,onstreetBus
24960400,onstreetBus
24960600,onstreetBus
24970110,onstreetBus
24970700,onstreetBus
24970800,onstreetBus
24970820,onstreetBus
24971300,onstreetBus
25000100,onstreetBus
25000410,onstreetBus
25000500,onstreetBus
25060050,onstreetBus
25130200,onstreetBus
25150100,onstreetBus
25150300,onstreetBus
25150400,onstreetBus
25170050,onstreetBus
25170090,onstreetBus
25180110,onstreetBus
25230030,onstreetBus
25240800,onstreetBus
25250010,onstreetBus
25250270,onstreetBus
25270030,onstreetBus
25270170,onstreetBus
25280090,onstreetBus
25370070,onstreetBus
25380030,onstreetBus
25440050,onstreetBus
25470010,onstreetBus
25470050,onstreetBus
25480010,onstreetBus
25580010,onstreetBus
25630010,onstreetBus
25630050,onstreetBus
25630110,onstreetBus
25680010,onstreetBus
25680030,onstreetBus
